,name,rating,address,price_level,place,type,subtype,CP,latitude,longitude,geometry,price
140,Nuevo Teatro Alcalá,4.4,"Calle de Jorge Juan, 62, 28009 Madrid, Spain",,theatre,plan,culture,28009,40.4233852,-3.6782642,"{'type': 'Point', 'coordinates': [40.4233852, -3.6782642]}",More than 50€
141,Teatro Lope de Vega,4.5,"C/ Gran Vía, 57, 28013 Madrid, Spain",,theatre,plan,culture,28013,40.4217904,-3.7086924,"{'type': 'Point', 'coordinates': [40.4217904, -3.7086924]}",More than 50€
142,Fourth Wall Theatre,4.5,"Calle de Ercilla, 17, 28005 Madrid, Spain",,theatre,plan,culture,28005,40.4027033,-3.7026025,"{'type': 'Point', 'coordinates': [40.4027033, -3.7026025]}",More than 50€
143,Teatro La Latina,4.2,"Plaza de la Cebada, 2, 28005 Madrid, Spain",,theatre,plan,culture,28005,40.4114334,-3.7087451,"{'type': 'Point', 'coordinates': [40.4114334, -3.7087451]}",More than 50€
144,Teatro Valle-Inclán,4.5,"Calle de Valencia, 1, 28012 Madrid, Spain",,theatre,plan,culture,28012,40.4082278,-3.7005027,"{'type': 'Point', 'coordinates': [40.4082278, -3.7005027]}",More than 50€
145,Teatro de La Abadía,4.6,"Calle de Fernández de los Ríos, 42, 28015 Madrid, Spain",,theatre,plan,culture,28015,40.4353016,-3.709429399999999,"{'type': 'Point', 'coordinates': [40.4353016, -3.709429399999999]}",More than 50€
146,Teatro Arlequín Gran Vía,4.1,"Calle de San Bernardo, 5, 28013 Madrid, Spain",,theatre,plan,culture,28013,40.4211739,-3.7082049,"{'type': 'Point', 'coordinates': [40.4211739, -3.7082049]}",More than 50€
147,𝗧𝗲𝗮𝘁𝗿𝗼 𝗙𝗹𝗮𝗺𝗲𝗻𝗰𝗼 𝗠𝗮𝗱𝗿𝗶𝗱 | Espectáculo Flamenco | Espectáculos en Madrid,4.6,"Calle del Pez, 10, 28004 Madrid, Spain",,theatre,plan,culture,28004,40.4232579,-3.704502,"{'type': 'Point', 'coordinates': [40.4232579, -3.704502]}",More than 50€
148,Teatro Soho Club,4.2,"Plaza de España, 6, 28013 Madrid, Spain",,theatre,plan,culture,28013,40.422586,-3.7119272,"{'type': 'Point', 'coordinates': [40.422586, -3.7119272]}",More than 50€
149,Teatro Galileo,4.3,"Calle de Galileo, 39, 28015 Madrid, Spain",,theatre,plan,culture,28015,40.4337637,-3.7104918,"{'type': 'Point', 'coordinates': [40.4337637, -3.7104918]}",More than 50€
150,La Estación Gran Teatro Caixabank Príncipe Pío,4.3,"Cuesta de San Vicente, 44, 28008 Madrid, Spain",,theatre,plan,culture,28008,40.4208869,-3.718805,"{'type': 'Point', 'coordinates': [40.4208869, -3.718805]}",More than 50€
151,Teseo,4.5,"Ronda de Segovia, 61, 28005 Madrid, Spain",,theatre,plan,culture,28005,40.4085014,-3.7158973,"{'type': 'Point', 'coordinates': [40.4085014, -3.7158973]}",More than 50€
152,Fine Arts Theatre,4.2,"Calle del Marqués de Casa Riera, 2, 28014 Madrid, Spain",,theatre,plan,culture,28014,40.4183333,-3.6963889,"{'type': 'Point', 'coordinates': [40.4183333, -3.6963889]}",More than 50€
153,Teatro de la Zarzuela,4.6,"Calle de Jovellanos, 4, 28014 Madrid, Spain",,theatre,plan,culture,28014,40.4171895,-3.6969903,"{'type': 'Point', 'coordinates': [40.4171895, -3.6969903]}",More than 50€
154,Nave 73,4.5,"Calle de Palos de la Frontera, 5, 28012 Madrid, Spain",,theatre,plan,culture,28012,40.403159,-3.698737,"{'type': 'Point', 'coordinates': [40.403159, -3.698737]}",More than 50€
155,Madrid Studio Theatre,4.9,"Calle Cardenal Solís, 5, 28012 Madrid, Spain",,theatre,plan,culture,28012,40.4023154,-3.6993389,"{'type': 'Point', 'coordinates': [40.4023154, -3.6993389]}",More than 50€
156,Teatro Marquina,4.4,"Calle de Prim, 11, 28004 Madrid, Spain",,theatre,plan,culture,28004,40.4219662,-3.6937277,"{'type': 'Point', 'coordinates': [40.4219662, -3.6937277]}",More than 50€
157,Teatro Victoria,4.3,"Calle del Pez, 17, 28004 Madrid, Spain",,theatre,plan,culture,28004,40.4237442,-3.7055247,"{'type': 'Point', 'coordinates': [40.4237442, -3.7055247]}",More than 50€
158,Nueve Norte,4.5,"Calle del Norte, 9, 28015 Madrid, Spain",,theatre,plan,culture,28015,40.426073,-3.707569,"{'type': 'Point', 'coordinates': [40.426073, -3.707569]}",More than 50€
159,Pequeño Teatro Gran Vía,4.3,"C/ Gran Vía, 66, 28013 Madrid, Spain",,theatre,plan,culture,28013,40.42241629999999,-3.708937199999999,"{'type': 'Point', 'coordinates': [40.42241629999999, -3.708937199999999]}",More than 50€
160,Teatro Off La Latina,4.4,"Calle de los Mancebos, 4, 28005 Madrid, Spain",,theatre,plan,culture,28005,40.412046,-3.711973,"{'type': 'Point', 'coordinates': [40.412046, -3.711973]}",More than 50€
161,Teatro Pradillo,4.2,"Calle de Pradillo, 12, 28002 Madrid, Spain",,theatre,plan,culture,28002,40.4485727,-3.674621499999999,"{'type': 'Point', 'coordinates': [40.4485727, -3.674621499999999]}",More than 50€
162,Teatro Tribueñe,4.4,"Calle de Sancho Dávila, 31, 28028 Madrid, Spain",,theatre,plan,culture,28028,40.425557,-3.661564,"{'type': 'Point', 'coordinates': [40.425557, -3.661564]}",More than 50€
163,Teatro maravillas,4.1,"Calle de Echegaray, 1, 28014 Madrid, Spain",,theatre,plan,culture,28014,40.4164538,-3.6995308,"{'type': 'Point', 'coordinates': [40.4164538, -3.6995308]}",More than 50€
