,provincia,poblacion,CP,lat,lon
237,Madrid,Perales de Tajuña,28540,-3.353.298.500,40.233.358.510
238,Madrid,Pezuela de las Torres,28812,-3.177.568.310,40.418.511.420
239,Madrid,Pinilla del Valle,28749,-3.817.664.980,40.927.030.650
240,Madrid,Pinto,28320,-3.698.249.530,40.243.182.380
241,Madrid,Gandullas,28737,-3.599.498.970,41.032.883.490
242,Madrid,Pozuelo de Alarcon,28223,-3.815.816.390,40.435.939.870
243,Madrid,Pozuelo de Alarcon,28224,-3.815.816.390,40.435.939.870
244,Madrid,Pozuelo de Alarcon,28813,-3.321.659.430,40.366.598.020
245,Madrid,Pradena del Rincon,28191,-3.541.751.900,41.044.185.880
246,Madrid,Puebla de la Sierra,28190,-3.445.172.150,41.012.177.650
247,Madrid,Quijorna,28693,-4.057.608.710,40.426.864.660
248,Madrid,Rascafria,28740,-3.880.959.820,40.905.665.710
249,Madrid,Rascafria,28749,-3.880.959.820,40.905.665.710
250,Madrid,Redue�a,28721,-3.601.972.690,40.816.554.150
251,Madrid,Ribatejada,28815,-3.393.196.530,40.667.441.080
252,Madrid,Rivas-Vaciamadrid,28521,-3.516.098.020,40.328.012.640
253,Madrid,Rivas-Vaciamadrid,28522,-3.516.098.020,40.328.012.640
254,Madrid,Rivas-Vaciamadrid,28523,-3.516.098.020,40.328.012.640
255,Madrid,Rivas-Vaciamadrid,28524,-3.516.098.020,40.328.012.640
256,Madrid,Rivas-Vaciamadrid,28529,-3.516.098.020,40.328.012.640
257,Madrid,Robledillo de la Jara,28194,-3.523.878.040,40.952.105.100
258,Madrid,Robledo de Chavela,28294,-4.239.374.030,40.501.778.480
259,Madrid,Robregordo,28755,-3.593.547.680,41.106.736.080
260,Madrid,Las Rozas de Madrid,28231,-3.874.573.080,40.491.951.870
261,Madrid,Las Rozas de Madrid,28232,-3.874.573.080,40.491.951.870
262,Madrid,Las Rozas de Madrid,28290,-3.874.573.080,40.491.951.870
263,Madrid,Rozas de Puerto Real,28649,-4.489.931.370,40.309.825.970
264,Madrid,San Agustin del Guadalix,28750,-3.617.431.140,40.678.939.140
265,Madrid,San Fernando de Henares,28830,-3.535.005.870,40.425.325.210
266,Madrid,San Lorenzo de El Escorial,28200,-4.145.088.030,40.592.540.630
267,Madrid,San Lorenzo de El Escorial,28750,-4.145.088.030,40.592.540.630
268,Madrid,San Martin de la Vega,28330,-3.570.049.470,40.207.711.520
269,Madrid,San Martin de la Vega,28680,-4.396.960.170,40.361.570.720
270,Madrid,San Sebastian de los Reyes,28700,-3.626.718.790,40.547.054.700
